value0,word0,value1,word1
-0.140734646338,wedding,-0.392669047819,wedding
-0.123196016902,woman,-0.0904251289069,woman
-0.121549514056,school,0.285643628598,school
-0.115708969031,man,-0.0519760439837,man
-0.108892094597,get,0.0534097864116,get
-0.105521093813,girl,0.133338049378,girl
-0.0962349351715,marry,-0.151680368291,marry
-0.0866500975162,help,0.0746417029496,help
-0.0812725955808,day,-0.0542083612675,day
-0.0805795262407,high,0.168045903425,high
-0.0735505444507,plan,-0.0637225817788,plan
-0.0733244423106,begin,0.0763208358296,begin
-0.0693985147041,break,-0.0525709998443,break
